1_A;;A;1;Noir;extrémité du pied;AV;besoin de se surpasser, de se prouver
2_A;;A;2;Noir;phalange distale;AV;besoin d’affronter, besoin de passer à l'action
3_A;;A;3;Noir;phalange moyenne;AR; besoin de se préserver, instinct de conservation
4_A;;A;4;Noir;phalange proximale;AR;besoin de se sentir vivant
8_A;;A;8;Noir;voûte plantaire;AV;besoin de se sentir vivant
14_A;;A;14;Noir;calcanéum;AV;besoin de stabilité, de réalisations, d'avancer dans la vie 
15_A;;A;15;Noir;talons;AR;besoin d’être en groupe, besoin de sécurité
25_A;;A;25;Noir;cous-de-pied;AV;besoin d’être en groupe, besoin de sécurité
54_A;;A;54;Noir;malléoles;AR;besoin de soutenir les autres ou d'être soutenu, besoin de choisir et de décider 
60_A;;A;60;Brun;tendons d'Achille;AR;besoin de stabilité, de réalisations concrètes, capacité à supporter 
64_A;;A;64;Brun;tibias/péronés;AV;besoin de soutien, besoin de se positionner 
76_A;;A;76;Brun;mollets/veines;AR;besoin de régler le passé, se mettre la pression pour la famille
93_A;;A;93;Brun;ligaments croisés;AV;besoin de stabilité, de sécurité, d'assumer
98_A;;A;98;Mauve;arrière des genoux;AR;besoin de régler le passé familial, enracinement 
100_A;;A;100;Mauve;rotules;AV;besoin de se sentir fort, de résister, d'encaisser 
105_A;;A;105;Mauve;cuisses;AV;besoin d'aller de l'avant, d'être responsable 
112_A;;A;112;Ecarlate;testicules;AV;besoin de créer, besoin d'exprimer son potentiel 
114_A;;A;114;Ecarlate;périnée;AR;besoin de s'aimer, de se faire plaisir 
116_A;;A;116;Rouge;anus/rectum;AR;besoin de retenir à l'intérieur, de garder pour soi 
118_A;;A;118;Rouge;côlon sigmoïde;AR;besoin d’argent, besoin d'être valorisé
119_A;;A;119;Rouge;coccyx3;AR;besoin d'assumer, d'être différent 
120_A;;A;120;Rouge;coccyx2;AR;besoin de réaliser, besoin d'exprimer son potentiel, stagnation, reporter à plus tard 
121_A;;A;121;Rouge;coccyx1;AR;besoin d'avoir sa place, besoin de répondre à ses attentes 
123_A;;A;123;Orange;prostate;AV;besoin de réaliser son potentiel, reporter à plus tard 
124_A;;A;124;Orange;vessie;AV;besoin d'avoir sa place, avoir des attentes inassouvies, enthousiasme 
